Independents,Total Energy Consumption Increase,Total Energy Consumption Decrease,Energy Use Intensity Increase,Energy Use Intensity Decrease,Electricity Consumption Increase,Electricity Consumption Decrease,Heating Consumption Increase,Heating Consumption Decrease,Cooling Consumption Increase,Cooling Consumption Decrease,Gas Consumption Increase,Gas Consumption Decrease,Energy Per Capita Increase,Energy Per Capita Decrease
Orientation (north-south),0,"Juaidi, Adel, Fadi AlFaris, Faris Saeed, Esther Salmeron-Manzano, and Francisco Manzano-Agugliaro. 2019. “Urban Design to Achieving the Sustainable Energy of Residential Neighbourhoods in Arid Climate.” Journal of Cleaner Production 228 (August):135–52. https://doi.org/10.1016/j.jclepro.2019.04.269.",0,0,0,0,0,0,0,"M. Braulio-Gonzalo, M. D. Bovea, M. J. Ruá, and P. Juan, “A methodology for predicting the energy performance and indoor thermal comfort of residential stocks on the neighbourhood and city scales. A case study in Spain,” Journal of Cleaner Production, vol. 139, pp. 646–665, Dec. 2016, doi: 10.1016/j.jclepro.2016.08.059.

Shareef, Sundus. 2021. “The Impact of Urban Morphology and Building’s Height Diversity on Energy Consumption at Urban Scale. The Case Study of Dubai.” Building and Environment 194 (May). https://doi.org/10.1016/j.buildenv.2021.107675.
",0,0,0,0
Material (wood),0,0,"P. Bansal and S. J. Quan, “Examining behavioral aspect of urban context effect on residential building energy 
use in Seoul – linking urban walkability to energy,” Building and Environment, vol. 252, Mar. 2024, doi: 10.1016/j.buildenv.2024.111179.

P. Bansal and S. J. Quan, “Relationships between building characteristics, urban form and building energy use in different local climate zone contexts: An empirical study in Seoul,” Energy and Buildings, vol. 272, Oct. 2022, doi: 10.1016/j.enbuild.2022.112335.",0,0,0,0,0,0,0,0,0,0,0
Material (reinforced concrete),0,0,0,"P. Bansal and S. J. Quan, “Examining behavioral aspect of urban context effect on residential building energy use in Seoul – linking urban walkability to energy,” Building and Environment, vol. 252, Mar. 2024, doi: 10.1016/j.buildenv.2024.111179.,

P. Bansal and S. J. Quan, “Relationships between building characteristics, urban form and building energy use in different local climate zone contexts: An empirical study in Seoul,” Energy and Buildings, vol. 272, Oct. 2022, doi: 10.1016/j.enbuild.2022.112335.",0,0,0,0,0,0,0,0,0,0
Material (composite board),0,0,0,"P. Bansal and S. J. Quan, “Relationships between building characteristics, urban form and building energy use in different local climate zone contexts: An empirical study in Seoul,” Energy and Buildings, vol. 272, Oct. 2022, doi: 10.1016/j.enbuild.2022.112335.",0,0,0,0,0,0,0,0,0,0
Material (albedo) ,,"Douthat, Thomas, John D. Morgan, Haris Alibašić, and Aneurin Grant. 2020. “Passive Building Characteristics, and Summertime Residential Energy Use: A Spatial Analysis of Energy Efficiency in Gainesville, FL.” 
Building and Environment 169 (February):106542. https://doi.org/10.1016/j.buildenv.2019.106542.

Adilkhanova, Indira, Mat Santamouris, and Geun Young Yun. 2023. “Coupling Urban Climate Modeling and City-Scale Building Energy Simulations with the Statistical Analysis: Climate and Energy Implications of High Albedo Materials in Seoul.” Energy and Buildings 290 (July):113092. https://doi.org/10.1016/j.enbuild.2023.113092.",0,0,0,0,0,0,0,"Haddad, Shamila, Wanni Zhang, Riccardo Paolini, Kai Gao, Muzahim Altheeb, Abdulrahman Al Mogirah, Abdullatif Bin Moammar, et al. 2024. “Quantifying the Energy Impact of Heat Mitigation Technologies at the Urban Scale.” Nature Cities 1 (1): 62–72. https://doi.org/10.1038/s44284-023-00005-5.",0,0,0,0
Pools,0,0,0,0,"H. Fan, I. F. MacGill, and A. B. Sproul, “Statistical analysis of driving factors of residential energy demand 
In the greater Sydney region, Australia,” Energy and Buildings, vol. 105, pp. 9–25, Aug. 2015, doi: 10.1016/j.enbuild.2015.07.030.",0,0,0,0,0,0,0,0,0
Energy conservation measures,0,"A. F. Marique and S. Reiter, “A method to evaluate the energy consumption of suburban neighborhoods,” in HVAC and R Research, Feb. 2012, pp. 88–99. doi: 10.1080/10789669.2011.592103.

R. Mohammadiziazi, S. Copeland, and M. M. Bilec, “Urban building energy model: Database development, validation, and application for commercial building stock,” Energy and Buildings, vol. 248, Oct. 2021, doi: 10.1016/j.enbuild.2021.111175.

Yu, Sha, Qing Tan, Meredydd Evans, Page Kyle, Linh Vu, and Pralit L. Patel. 2017. “Improving Building Energy Efficiency in India: State-Level Analysis of Building Energy Efficiency Policies.” Energy Policy 110 (November):331–41. https://doi.org/10.1016/j.enpol.2017.07.013.",0,0,0,0,0,"K. N. Streicher, P. Padey, D. Parra, M. C. Bürer, S. Schneider, and M. K. Patel, “Analysis of space heating demand in the Swiss residential building stock: Element-based bottom-up model of archetype buildings,” Energy and Buildings, vol. 184, pp. 300–322, Feb. 2019, doi: 10.1016/j.enbuild.2018.12.011.

B. Güneralp et al., “Global scenarios of urban density and its impacts on building energy use through 2050,” Proceedings of the National Academy of Sciences of the United States of America, vol. 114, no. 34, pp. 8945–8950, Aug. 2017, doi: 10.1073/pnas.1606035114.",0,"R. Silva, S. Eggimann, L. Fierz, M. Fiorentini, K. Orehounig, and L. Baldini, “Opportunities for passive cooling to mitigate the impact of climate change in Switzerland,” Building and Environment, vol. 208, Jan. 2022, doi: 10.1016/j.buildenv.2021.108574.

B. Güneralp et al., “Global scenarios of urban density and its impacts on building energy use through 2050,” Proceedings of the National Academy of Sciences of the United States of America, vol. 114, no. 34, pp. 8945–8950, Aug. 2017, doi: 10.1073/pnas.1606035114.",0,0,0,0
Renewable Energy Systems,0,"Chen, Shuqin, Jun Guan, Natasa Nord, Nianping Li, and Hiroshi Yoshino. 2019. “A Study of Citywide Urban Residential Energy Information System for the Building Energy Efficiency Management: A Cluster Model of Seven Typical Cities in China.” Energy Efficiency 12 (6): 1509–28. https://doi.org/10.1007/s12053-018-9768-8.

Balaras, Constantinos A., Athina G. Gaglia, Elena Georgopoulou, Sevastianos Mirasgedis, Yiannis Sarafidis, and Dimitris P. Lalas. 2007. “European Residential Buildings and Empirical Assessment of the Hellenic Building Stock, Energy Consumption, Emissions and Potential Energy Savings.” Building and Environment 42 (3): 1298–1314. https://doi.org/10.1016/j.buildenv.2005.11.001.

Juaidi, Adel, Fadi AlFaris, Faris Saeed, Esther Salmeron-Manzano, and Francisco Manzano-Agugliaro. 2019. “Urban Design to Achieving the Sustainable Energy of Residential Neighbourhoods in Arid Climate.” Journal of Cleaner Production 228 (August):135–52. https://doi.org/10.1016/j.jclepro.2019.04.269.",0,0,0,0,0,0,0,0,0,0,0,0
Technology for energy (electricity) ,0,0,"Zhang, Yan, Bak Koon Teoh, Limao Zhang, and Jiayu Chen. 2022. “Spatio-Temporal Heterogeneity Analysis of Energy Use in Residential Buildings.” Journal of Cleaner Production 352 (June):131422.
 https://doi.org/10.1016/j.jclepro.2022.131422.","D. J. Bednar, T. G. Reames, and G. A. Keoleian, “The intersection of energy and justice: Modeling the spatial, racial/ethnic and socioeconomic patterns of urban residential heating consumption and efficiency in Detroit, Michigan,” Energy and Buildings, vol. 143, pp. 25–34, May 2017, doi: 10.1016/j.enbuild.2017.03.028.",0,0,0,"D. J. Bednar, T. G. Reames, and G. A. Keoleian, “The intersection of energy and justice: Modeling the spatial, racial/ethnic and socioeconomic patterns of urban residential heating consumption and efficiency in Detroit, Michigan,” Energy and Buildings, vol. 143, pp. 25–34, May 2017, doi: 10.1016/j.enbuild.2017.03.028.",0,0,0,0,0,0
Technology used for energy (gas),"X. Jin, C. Zhang, F. Xiao, A. Li, and C. Miller, “A review and reflection on open datasets of city-level building energy use and their applications,” Energy and Buildings, vol. 285, Apr. 2023, doi: 10.1016/j.enbuild.2023.112911.

B. Hojjati and S. H. Wade, “U.S. household energy consumption and intensity trends: A decomposition approach,” Energy Policy, vol. 48, pp. 304–314, Sep. 2012, doi: 10.1016/j.enpol.2012.05.024.",0,"Zhang, Yan, Bak Koon Teoh, Limao Zhang, and Jiayu Chen. 2022. “Spatio-Temporal Heterogeneity Analysis of Energy Use in Residential Buildings.” Journal of Cleaner Production 352 (June):131422.
 https://doi.org/10.1016/j.jclepro.2022.131422.",0,0,"E. L. Navamuel, F. Rubiera Morollón, and B. Moreno Cuartas, “Energy consumption and urban sprawl: Evidence for the Spanish case,” Journal of Cleaner Production, vol. 172, pp. 3479–3486, Jan. 2018, doi: 10.1016/j.jclepro.2017.08.110.

H. Fan, I. F. MacGill, and A. B. Sproul, “Statistical analysis of driving factors of residential energy demand in the greater Sydney region, Australia,” Energy and Buildings, vol. 105, pp. 9–25, Aug. 2015, doi: 10.1016/j.enbuild.2015.07.030.","F. Vecchi, U. Berardi, and G. Mutani, “Data-driven urban building energy models for the platform of Toronto,” Energy Efficiency, vol. 16, no. 4, Apr. 2023, doi: 10.1007/s12053-023-10106-8.",0,0,0,0,0,0,0
Technology used for energy (oil),"G. K. F. Tso and J. Guan, “A multilevel regression approach to understand effects of environment indicators and household features on residential 
energy consumption,” Energy, vol. 66, pp. 722–731, Mar. 2014, doi: 10.1016/j.energy.2014.01.056.",0,"Ma, Jun, and Jack C.P. Cheng. 2016. “Identifying the Influential Features on the Regional Energy Use Intensity of Residential Buildings Based on Random Forests.” Applied Energy 183 (December):193–201. https://doi.org/10.1016/j.apenergy.2016.08.096.","D. J. Bednar, T. G. Reames, and G. A. Keoleian, “The intersection of energy and justice: Modeling the spatial, racial/ethnic and socioeconomic patterns of urban residential heating consumption and efficiency in Detroit, Michigan,” Energy and Buildings, vol. 143, pp. 25–34, May 2017, doi: 10.1016/j.enbuild.2017.03.028.

",0,0,0,"D. J. Bednar, T. G. Reames, and G. A. Keoleian, “The intersection of energy and justice: Modeling the spatial, racial/ethnic and socioeconomic patterns of urban residential heating consumption and efficiency in Detroit, Michigan,” Energy and Buildings, vol. 143, pp. 25–34, May 2017, doi: 10.1016/j.enbuild.2017.03.028.",0,0,0,0,0,0
LED lighting,0,"R. Mohammadiziazi, S. Copeland, and M. M. Bilec, “Urban building energy model: Database development, validation, and application for commercial building stock,” Energy and Buildings, vol. 248, Oct. 2021, doi: 10.1016/j.enbuild.2021.111175.",0,0,0,"J. L. Reyna and M. V. Chester, “Energy efficiency to reduce residential electricity and natural gas use under climate change,” Nature Communications, vol. 8, May 2017, doi: 10.1038/ncomms14916.",0,0,0,0,0,0,0,0
Energy-efficient appliances,0,"R. Mohammadiziazi, S. Copeland, and M. M. Bilec, “Urban building energy model: Database development, validation, and application for commercial building stock,” Energy and Buildings, vol. 248, Oct. 2021, doi: 10.1016/j.enbuild.2021.111175.",0,0,0,"M. Sakah, S. de la Rue du Can, F. A. Diawuo, M. D. Sedzro, and C. Kuhn, “A study of appliance ownership and electricity consumption determinants in urban Ghanaian households,” Sustainable Cities and Society, vol. 44, pp. 559–581, Jan. 2019, doi: 10.1016/j.scs.2018.10.019.

J. L. Reyna and M. V. Chester, “Energy efficiency to reduce residential electricity and natural gas use under climate change,” Nature Communications, vol. 8, May 2017, doi: 10.1038/ncomms14916.",0,0,0,0,0,0,0,0
Type of HVAC (central),"G. K. F. Tso and J. Guan, “A multilevel regression approach to understand effects of environment indicators and household features on residential energy consumption,” Energy, vol. 66, pp. 722–731, Mar. 2014, doi: 10.1016/j.energy.2014.01.056.",0,"X. Liu, H. Tang, Y. Ding, and D. Yan, “Investigating the performance of machine learning models combined
 with different feature selection methods to estimate the energy consumption of buildings,” Energy and Buildings, vol. 273, Oct. 2022, doi: 10.1016/j.enbuild.2022.112408.",0,"H. Fan, I. F. MacGill, and A. B. Sproul, “Statistical analysis of driving factors of residential energy demand in the greater Sydney region, Australia,” Energy and Buildings, vol. 105, pp. 9–25, Aug. 2015, doi: 10.1016/j.enbuild.2015.07.030.",0,0,0,"G. Y. Yun and K. Steemers, “Behavioural, physical and socio-economic factors in household cooling energy consumption,” Applied Energy, vol. 88, no. 6, pp. 2191–2200, 2011, doi: 10.1016/j.apenergy.2011.01.010.

S. Hu, D. Yan, and M. Qian, “Using bottom-up model to analyze cooling energy consumption in China’s urban residential building,” Energy and Buildings, vol. 202, Nov. 2019, doi: 10.1016/j.enbuild.2019.109352.",0,0,0,0,0
Type of HVAC (local or single split),0,0,0,0,0,0,0,"S. Chen, N. Li, H. Yoshino, J. Guan, and M. D. Levine, “Statistical analyses on winter energy consumption characteristics of residential buildings in some cities of China,” Energy and Buildings, vol. 43, no. 5, pp. 1063–1070, May 2011, doi: 10.1016/j.enbuild.2010.09.022.",0,"G. Y. Yun and K. Steemers, “Behavioural, physical and socio-economic factors in household cooling energy consumption,” Applied Energy, vol. 88, no. 6, pp. 2191–2200, 2011, doi: 10.1016/j.apenergy.2011.01.010.

S. Hu, D. Yan, and M. Qian, “Using bottom-up model to analyze cooling energy consumption in China’s urban residential building,” Energy and Buildings, vol. 202, Nov. 2019, doi: 10.1016/j.enbuild.2019.109352.",0,0,0,0
Type of HVAC (district heating),0,"Urquizo, Javier, Carlos Calderón, and Philip James. 2018. “Modelling Household Spatial Energy Intensity Consumption Patterns for Building Envelopes, Heating Systems and Temperature Controls in Cities.” Applied 
Energy 226 (September):670–81. https://doi.org/10.1016/j.apenergy.2018.05.125.",0,0,0,0,0,0,0,0,0,0,0,0
HVAC controls (programmable),0,"G. K. F. Tso and J. Guan, “A multilevel regression approach to understand effects of environment indicators and household features on residential energy consumption,” Energy, vol. 66, pp. 722–731, Mar. 2014, doi: 10.1016/j.energy.2014.01.056.",0,0,0,0,0,0,0,0,0,0,0,0
HVAC efficiency,0,0,0,0,0,"J. L. Reyna and M. V. Chester, “Energy efficiency to reduce residential electricity and natural gas use under climate change,” Nature Communications, vol. 8, May 2017, doi: 10.1038/ncomms14916.",0,0,0,0,0,0,0,0
Number of heating/cooling controls,"Murakami, Shuzo, Mark D. Levine, Hiroshi Yoshino, Takashi Inoue, Toshiharu Ikaga, Yoshiyuki Shimoda, Shuichi Miura, et al. 2009. “Overview of Energy Consumption and GHG Mitigation Technologies in the Building Sector of Japan.” Energy Efficiency 2 (2): 179–94. https://doi.org/10.1007/s12053-008-9040-8.
",0,0,0,"W. H. Huang, “The determinants of household electricity consumption in Taiwan: Evidence from quantile
 regression,” Energy, vol. 87, pp. 120–133, Jul. 2015, doi: 10.1016/j.energy.2015.04.101.

J. Gao et al., “Dilution effect of the building area on energy intensity in urban residential buildings,” Nature Communications, vol. 10, no. 1, Dec. 2019, doi: 10.1038/s41467-019-12852-9.

M. Sakah, S. de la Rue du Can, F. A. Diawuo, M. D. Sedzro, and C. Kuhn, “A study of appliance ownership and electricity consumption determinants in urban Ghanaian households,” Sustainable Cities and Society, vol. 44, pp. 559–581, Jan. 2019, doi: 10.1016/j.scs.2018.10.019.

H. Fan, I. F. MacGill, and A. B. Sproul, “Statistical analysis of driving factors of residential energy demand in the greater Sydney region, Australia,” Energy and Buildings, vol. 105, pp. 9–25, Aug. 2015, doi: 10.1016/j.enbuild.2015.07.030.",0,0,0,0,0,0,0,"P. Newton and D. Meyer, “The determinants of urban resource
 consumption,” Environment and Behavior, vol. 44, no. 1, pp. 107–135, Jan. 2012, doi: 10.1177/0013916510390494.",0
Heating degree days,"F. Belaïd, D. Roubaud, and E. Galariotis, “Features of residential energy consumption: Evidence from France using an innovative multilevel modelling approach,” Energy Policy, vol. 125, pp. 277–285, Feb. 2019, doi: 10.1016/j.enpol.2018.11.007.

J. W. Burnett and L. L. Kiesling, “How do machines predict energy use? Comparing machine learning approaches for modeling household energy demand in the United States,” Energy Research and Social Science, vol. 91, Sep. 2022, doi: 10.1016/j.erss.2022.102715. 

H. Estiri and E. Zagheni, “Age matters: Ageing and household energy demand in the United States,” Energy Research and Social Science, vol. 55, pp. 62–70, Sep. 2019, doi: 10.1016/j.erss.2019.05.006.

L. Wang, E. W. M. Lee, S. A. Hussian, A. C. Y. Yuen, and W. Feng, “Quantitative impact analysis of driving factors on annual residential building energy end-use combining machine learning and stochastic methods,” Applied Energy, vol. 299, Oct. 2021, doi: 10.1016/j.apenergy.2021.117303.

G. K. F. Tso and J. Guan, “A multilevel regression approach to understand effects of environment indicators and household features on residential energy consumption,” Energy, vol. 66, pp. 722–731, Mar. 2014, doi: 10.1016/j.energy.2014.01.056.

P. Shen and B. Yang, “Projecting Texas energy use for residential sector under future climate and urbanization scenarios: A bottom-up method based on twenty-year regional energy use data,” Energy, vol. 193, Feb. 2020, doi: 10.1016/j.energy.2019.116694.

F. Creutzig, G. Baiocchi, R. Bierkandt, P. P. Pichler, and K. C. Seto, “Global typology of urban energy use and potentials for an urbanization mitigation wedge,” Proceedings of the National Academy of Sciences of the United States of America, vol. 112, no. 20, pp. 6283–6288, May 2015, doi: 10.1073/pnas.1315545112.

Fan, Jing-Li, Bin Zeng, Jia-Wei Hu, Xian Zhang, and Hang Wang. 2020. “The Impact of Climate Change on Residential Energy Consumption in Urban and Rural Divided Southern and Northern China.” Environmental Geochemistry and Health 42 (3): 969–85. https://doi.org/10.1007/s10653-019-00430-3.",0,0,0,"H. Fan, I. F. MacGill, and A. B. Sproul, “Statistical analysis of driving factors of residential energy demand in the greater Sydney region, Australia,” Energy and Buildings, vol. 105, pp. 9–25, Aug. 2015, doi: 10.1016/j.enbuild.2015.07.030.

P. He, J. Liang, Y. (Lucy) Qiu, Q. Li, and B. Xing, “Increase in domestic electricity consumption from particulate air pollution,” Nature Energy, vol. 5, no. 12, pp. 985–995, Dec. 2020, doi: 10.1038/s41560-020-00699-0.

Park, Jongmun, and Sun-Jin Yun. 2022. “Social Determinants of Residential Electricity Consumption in Korea: Findings from a Spatial Panel Model.” Energy 239 (January):122272. https://doi.org/10.1016/j.energy.2021.122272.",0,0,0,"K. Steemers and G. Y. Yun, “Household energy consumption: A study of the role of occupants,” Building Research and Information, vol. 37, no. 5–6, pp. 625–637, 2009, doi: 10.1080/09613210903186661.",0,0,0,0,"D. Wiesmann, I. Lima Azevedo, P. Ferrão, and J. E. Fernández, “Residential electricity consumption in Portugal: Findings from top-down and bottom-up models,” Energy Policy, vol. 39, no. 5, pp. 2772–2779, May 2011, doi: 10.1016/j.enpol.2011.02.047."
Cooling degree days,"H. Estiri and E. Zagheni, “Age matters: Ageing and household energy demand in the United States,” Energy Research and Social Science, vol. 55, pp. 62–70, Sep. 2019, doi: 10.1016/j.erss.2019.05.006.

Fan, Jing-Li, Bin Zeng, Jia-Wei Hu, Xian Zhang, and Hang Wang. 2020. “The Impact of Climate Change on Residential Energy Consumption in Urban and Rural Divided Southern and Northern China.” Environmental Geochemistry and Health 42 (3): 969–85. https://doi.org/10.1007/s10653-019-00430-3.","L. Wang, E. W. M. Lee, S. A. Hussian, A. C. Y. Yuen, and W. Feng, “Quantitative impact analysis of driving factors on annual residential building energy end-use combining machine learning and stochastic methods,” Applied Energy, vol. 299, Oct. 2021, doi: 10.1016/j.apenergy.2021.117303., 

F. Creutzig, G. Baiocchi, R. Bierkandt, P. P. Pichler, and K. C. Seto, “Global typology of urban energy use and potentials for an urbanization mitigation wedge,” Proceedings of the National Academy of Sciences of the United States of America, vol. 112, no. 20, pp. 6283–6288, May 2015, doi: 10.1073/pnas.1315545112.",0,0,"P. He, J. Liang, Y. (Lucy) Qiu, Q. Li, and B. Xing, “Increase in domestic electricity consumption from particulate air pollution,” Nature Energy, vol. 5, no. 12, pp. 985–995, Dec. 2020, doi: 10.1038/s41560-020-00699-0.

Park, Jongmun, and Sun-Jin Yun. 2022. “Social Determinants of Residential Electricity Consumption in Korea: Findings from a Spatial Panel Model.” Energy 239 (January):122272. https://doi.org/10.1016/j.energy.2021.122272.",0,0,0,"G. Y. Yun and K. Steemers, “Behavioural, physical and socio-economic factors in household cooling energy consumption,” Applied Energy, vol. 88, no. 6, pp. 2191–2200, 2011, doi: 10.1016/j.apenergy.2011.01.010.

K. Steemers and G. Y. Yun, “Household energy consumption: A study of the role of occupants,” Building Research and Information, vol. 37, no. 5–6, pp. 625–637, 2009, doi: 10.1080/09613210903186661.",0,0,0,0,0
Global warming or climate change,"Nie, Hong-guang, René Kemp, Jin-hua Xu, Véronique Vasseur, and Ying Fan. 2018. “Drivers of Urban and Rural Residential Energy Consumption in China from the Perspectives of Climate and Economic Effects.” Journal of Cleaner Production 172 (January):2954–63. https://doi.org/10.1016/j.jclepro.2017.11.117.",0,0,0,"E. Prataviera, P. Romano, L. Carnieletto, F. Pirotti, J. Vivian, and A. Zarrella, “EUReCA: An open-source urban building energy modelling tool for the efficient evaluation of cities energy demand,” Renewable Energy, vol. 173, pp. 544–560, Aug. 2021, doi: 10.1016/j.renene.2021.03.144.",0,0,"A. Deroubaix et al., “Large uncertainties in trends of energy demand for heating and cooling under climate change,” Nature Communications, vol. 12, no. 1, Dec. 2021, doi: 10.1038/s41467-021-25504-8.

Zheng, Yuanfan, and Qihao Weng. 2019. “Modeling the Effect of Climate Change on Building Energy Demand in Los Angeles County by Using a GIS-Based High Spatial- and Temporal-Resolution Approach.” Energy 176 (June):641–55. https://doi.org/10.1016/j.energy.2019.04.052.

Christenson, M., H. Manz, and D. Gyalistras. 2006. “Climate Warming Impact on Degree-Days and Building Energy Demand in Switzerland.” Energy Conversion and Management 47 (6): 671–86. https://doi.org/10.1016/j.enconman.2005.06.009.

Ukey, Rahul, and Aakash C. Rai. 2021. “Impact of Global Warming on Heating and Cooling Degree Days in Major Indian Cities.” Energy and Buildings 244 (August):111050. https://doi.org/10.1016/j.enbuild.2021.111050.

Meng, Fanchao, Mingcai Li, Jingfu Cao, Ji Li, Mingming Xiong, Xiaomei Feng, and Guoyu Ren. 2018. “The Effects of Climate Change on Heating Energy Consumption of Office Buildings in Different Climate Zones in China.” Theoretical and Applied Climatology 133 (1–2): 521–30. https://doi.org/10.1007/s00704-017-2206-6.

Verichev, Konstantin, Montserrat Zamorano, and Manuel Carpio. 2020. “Effects of Climate Change on Variations in Climatic Zones and Heating Energy Consumption of Residential Buildings in the Southern Chile.” Energy and Buildings 215 (May):109874. https://doi.org/10.1016/j.enbuild.2020.109874.

","I. Staffell, S. Pfenninger, and N. Johnson, “A global model of hourly space heating and cooling demand at multiple spatial scales,” Nature Energy, 2023, doi: 10.1038/s41560-023-01341-5.

A. Deroubaix et al., “Large uncertainties in trends of energy demand for heating and cooling under climate change,” Nature Communications, vol. 12, no. 1, Dec. 2021, doi: 10.1038/s41467-021-25504-8.

Zheng, Yuanfan, and Qihao Weng. 2019. “Modeling the Effect of Climate Change on Building Energy Demand in Los Angeles County by Using a GIS-Based High Spatial- and Temporal-Resolution Approach.” Energy 176 (June):641–55. https://doi.org/10.1016/j.energy.2019.04.052.

Christenson, M., H. Manz, and D. Gyalistras. 2006. “Climate Warming Impact on Degree-Days and Building Energy Demand in Switzerland.” Energy Conversion and Management 47 (6): 671–86. https://doi.org/10.1016/j.enconman.2005.06.009.

Ukey, Rahul, and Aakash C. Rai. 2021. “Impact of Global Warming on Heating and Cooling Degree Days in Major Indian Cities.” Energy and Buildings 244 (August):111050. https://doi.org/10.1016/j.enbuild.2021.111050.

Angeles, Moises E., Jorge E. González, and Nazario Ramírez. 2018. “Impacts of Climate Change on Building Energy Demands in the Intra-Americas Region.” Theoretical and Applied Climatology 133 (1–2): 59–72. https://doi.org/10.1007/s00704-017-2175-9.

Mayrhofer, Lukas, Andreas Müller, Marianne Bügelmayer-Blaschek, Aadit Malla, and Lukas Kranzl. 2023. “Modelling the Effect of Passive Cooling Measures on Future Energy Needs for the Austrian Building Stock.” Energy and Buildings 296 (October):113333. https://doi.org/10.1016/j.enbuild.2023.113333.


",0,0,0,0,0
Air pollution ,0,0,0,0,"P. He, J. Liang, Y. (Lucy) Qiu, Q. Li, and B. Xing, “Increase in domestic electricity consumption from particulate
 air pollution,” Nature Energy, vol. 5, no. 12, pp. 985–995, Dec. 2020, doi: 10.1038/s41560-020-00699-0.",0,0,0,0,0,0,0,0,0
"Precipitation accumulation (rainfall or
snow)","Shourav, Mohammad Sabbir Ahmed, Shamsuddin Shahid, Bachan Singh, Morteza Mohsenipour, Eun-Sung Chung, and Xiao-Jun Wang. 2018. “Potential Impact of Climate Change on Residential Energy Consumption in Dhaka City.” Environmental Modeling & Assessment 23 (2): 131–40. https://doi.org/10.1007/s10666-017-9571-5.",0,0,0,0,"P. He, J. Liang, Y. (Lucy) Qiu, Q. Li, and B. Xing, “Increase in domestic electricity consumption from particulate air pollution,” Nature Energy, vol. 5, no. 12, pp. 985–995, Dec. 2020, doi: 10.1038/s41560-020-00699-0.",0,0,0,0,0,0,0,0
Wind speed,0,"Lee, Gunwon, and Yunnam Jeong. 2017. “Impact of Urban and Building Form and Microclimate on the Energy Consumption of Buildings - Based on Statistical Analysis-.” Journal of Asian Architecture and Building Engineering 16 (3): 565–72. https://doi.org/10.3130/jaabe.16.565.",0,0,0,"P. He, J. Liang, Y. (Lucy) Qiu, Q. Li, and B. Xing, “Increase in domestic electricity consumption from particulate air pollution,” Nature Energy, vol. 5, no. 12, pp. 985–995, Dec. 2020, doi: 10.1038/s41560-020-00699-0.",0,0,0,0,0,0,0,0
Relative humidity,"F. Belaïd, “Understanding the spectrum of domestic energy consumption: Empirical evidence from France,” Energy Policy, vol. 92, pp. 220–233, May 2016, doi: 10.1016/j.enpol.2016.02.015.

Lee, Gunwon, and Yunnam Jeong. 2017. “Impact of Urban and Building Form and Microclimate on the Energy Consumption of Buildings - Based on Statistical Analysis-.” Journal of Asian Architecture and Building Engineering 16 (3): 565–72. https://doi.org/10.3130/jaabe.16.565.",0,0,0,"P. He, J. Liang, Y. (Lucy) Qiu, Q. Li, and B. Xing, “Increase in domestic electricity consumption from particulate air pollution,” Nature Energy, vol. 5, no. 12, pp. 985–995, Dec. 2020, doi: 10.1038/s41560-020-00699-0.

Ihara, T., Y. Genchi, T. Sato, K. Yamaguchi, and Y. Endo. 2008. “City-Block-Scale Sensitivity of Electricity Consumption to Air Temperature and Air Humidity in Business Districts of Tokyo, Japan.” Energy 33 (11): 1634–45. https://doi.org/10.1016/j.energy.2008.06.005.",0,0,0,0,0,0,0,0,0
Solar exposure/intensity,0,0,"
Cui, Peng, Jiaqi Lu, Yutong Wu, Jingnan Tang, and Jinjian Jiang. 2024. “Effect of Urban Morphology on Microclimate and Building Cluster Energy Consumption in Cold Regions of China.” Sustainable Cities and Society 115 (November):105838. https://doi.org/10.1016/j.scs.2024.105838.",0,0,"S. Mohammadi, B. de Vries, A. Rafiee, M. Esfandiari, and E. Dias, “An exploratory study on the impact of physical and geospatial characteristics of the urban built environment on the buildings annual electricity usage,” Journal of Building Engineering, vol. 40, Aug. 2021, doi: 10.1016/j.jobe.2021.102359.",0,"Hashimoto, Yuki, Yukitaka Ohashi, Minako Nabeshima, Yoshinori Shigeta, Yukihiro Kikegawa, and Tomohiko Ihara. 2019. 
“Sensitivity of Electricity Consumption to Air Temperature, Air Humidity and Solar Radiation at the City-Block Scale in Osaka, Japan.” Sustainable Cities and Society 45 (February):38–47. https://doi.org/10.1016/j.scs.2018.10.004.","F. Vecchi, U. Berardi, and G. Mutani, “Data-driven urban building energy models for the platform of Toronto,” Energy Efficiency, vol. 16, no. 4, Apr. 2023, doi: 10.1007/s12053-023-10106-8.

Hashimoto, Yuki, Yukitaka Ohashi, Minako Nabeshima, Yoshinori Shigeta, Yukihiro Kikegawa, and Tomohiko Ihara. 2019. “Sensitivity of Electricity Consumption to Air Temperature, Air Humidity and Solar Radiation at the City-Block Scale in Osaka, Japan.” Sustainable Cities and Society 45 (February):38–47. https://doi.org/10.1016/j.scs.2018.10.004.",0,0,0,0,0
